parent_geozone_id,geozone_name
1033,Marathahalli
1032,ITPL
1040,Bellandur
1039,HSR
1038,BTM
1037,Koramangala
1036,Indiranagar
1035,CV Raman Nagar
1034,Mahadevpura
1044,Kalyan Nagar
1043,Banashankari
1042,Jayanagar
1055,TC Palya
1054,Medahalli
1053,Seegehalli
1052,Channasandra
1051,Varthur
1050,Sarjapur
1049,Hosa Road
1048,Begur
1047,JP Nagar
1046,Majestic
1045,CBD
1066,Sunkadakatte
1065,Andrahalli
1064,Nagasandra
1063,Jalahalli
1062,BEL
1061,Hebbal
1060,RT Nagar
1059,Nagawara
1058,Thanisandra
1057,Hennur
1056,Budigere Cross
1077,Vittasandra
1076,Bannerughatta
1075,Kanakapura road
1073,BSK 6th stage
1072,RR Nagar
1071,Kengeri
1070,Gnana Bharati
1069,Vijayanagar
1068,Rajajinagar
1067,Peenya
1080,KR puram
1079,Huskur
1078,Ecity
1093,AECS layout
